Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2022-09-01
Data Final: 2023-10-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-12-07;3.6;31.3;22.9;14.6;66.782609;9.6;2.956522;
2022-12-08;.2;32.2;24.495833;17.4;64.958333;10.3;3.341667;
2022-12-09;0;31.9;23.152174;18.9;75.565217;23.3;2.821739;
2022-12-10;55.8;30.9;22.35;17.6;78.708333;9.3;3.095833;
2022-12-11;7.4;30.5;23.227273;18.8;79.681818;12.7;3.2;
2022-12-12;.4;29.2;22.125;18.8;82.625;8.6;2.404167;
2022-12-13;2.8;24.4;18.9375;13.8;64.083333;12.8;3.979167;
2022-12-14;0;26.3;18.9625;13.2;65.791667;9.6;3.616667;
2022-12-15;0;27.6;20.104167;14.6;65.166667;10.3;3.854167;
2022-12-16;0;26.2;20.327273;15.3;65.590909;11.5;3.336364;
2022-12-17;0;26.2;18.554167;14.6;71;11;4.220833;
2022-12-18;18.2;17.9;15.55;13.7;90.208333;12.8;6.025;
2022-12-19;18;23.5;17.8875;13.8;82.166667;13;5.395833;
2022-12-20;32;24;17.854167;13.9;81.708333;10.1;4.929167;
2022-12-21;0;25.1;18.6125;14.4;74.416667;11;4.358333;
2022-12-22;0;24.8;18.55;14.6;69.666667;12;4.7875;
2022-12-23;0;26.6;18.904167;12.2;64.458333;11.9;4.908333;
2022-12-24;0;27;20.204167;14.2;67.416667;12;4.3125;
2022-12-25;0;24.9;19.4375;17;79.791667;11.8;3.970833;
2022-12-26;2;28.3;21.3125;15.4;70.791667;9.1;2.529167;
2022-12-27;0;28.6;20.958333;16.6;78.625;12.7;3.741667;
2022-12-28;2.4;24.2;19.4625;16.8;78.041667;13.4;4.116667;
2022-12-29;0;26.2;20.083333;13.8;50.833333;8;2.358333;
2022-12-30;0;27.9;20.033333;12.3;63.833333;9;3.2625;
2022-12-31;0;29.1;21.7875;15.1;68.25;9.1;3.491667;
2023-01-01;0;31.1;23.058333;16.4;67.791667;10.4;4.020833;
2023-01-02;0;25.8;21.6125;18.1;77.75;9.6;3.695833;
2023-01-03;0;28.6;21.383333;18.2;78.541667;12.6;2.2125;
2023-01-04;14.6;24.4;18.316667;13.6;76.833333;9.8;3.720833;
2023-01-05;.2;24.9;18.291667;10.7;61.875;11;3.908333;
2023-01-06;0;25.4;18.668182;12.1;63.909091;12.7;5.527273;
2023-01-07;0;24.3;17.754167;12.1;70.833333;12.4;5.633333;
2023-01-08;0;25.3;18.233333;12;70.125;11.8;4.325;
2023-01-09;0;25.5;19.265217;14.9;70.130435;9.6;4.113043;
2023-01-10;0;24.8;19.675;16.8;77.583333;11.7;3.595833;
2023-01-11;0;29.1;21.813636;15.3;65.772727;11;3.095455;
2023-01-12;0;29.6;21.816667;16.7;71.208333;11.6;2.9625;
2023-01-13;26.8;26.6;19.747826;16.5;85.217391;17.3;2.656522;
2023-01-14;7;26.1;20.695652;15.6;81.391304;8.6;2.091304;
2023-01-15;5;22.4;20.313636;18.1;88.363636;11.2;3.559091;
2023-01-16;1;28.2;21.983333;18.7;82.083333;14.2;2.6875;
2023-01-17;14;27.6;20.675;17.8;89.375;13.8;3.554167;
2023-01-18;33.8;27.7;20.834783;17;82.956522;18.1;4.030435;
2023-01-19;6.8;27.2;21.268182;17.2;79.136364;13.3;3.922727;
2023-01-20;0;27.4;21.091667;16.6;78;11.4;3.425;
2023-01-21;0;29;22.221739;16;74.913043;9.2;2.995652;
2023-01-22;1.4;26.4;21.854167;19.2;80.875;10.9;3.029167;
2023-01-23;3.4;27.5;19.95;16.3;83.041667;19.5;3.116667;
2023-01-24;1.6;28.8;20.941667;12.4;65.541667;7.5;2.304167;
2023-01-25;.2;30.6;23.125;14.8;60.5;7;2.629167;
2023-01-26;0;29.6;23.158333;17.6;67.541667;8;3.904167;
2023-01-27;0;29.3;21.726087;14.1;63.826087;10.3;3.782609;
2023-01-28;0;31;23.195652;15.7;63.086957;7.3;2.765217;
2023-01-29;0;28.3;21.282609;17.9;82;14.2;2.782609;
2023-01-30;2.8;24.9;19.729167;16.4;88.041667;11.6;2.358333;
2023-01-31;10.8;26;21.169565;17.1;83.695652;8;2.03913;
2023-02-01;1.2;28;22.391667;18.2;78.666667;6.8;1.954167;
2023-02-02;0;27.1;22.186957;17.3;81.434783;10;2.517391;
2023-02-03;1.4;24.9;20.304167;18.2;89.125;13.2;3.029167;
2023-02-04;7.4;24.5;18.854167;16.1;87.166667;10.8;2.416667;
2023-02-05;.2;24.4;19.0375;14.2;74.583333;9.9;2.5375;
2023-02-06;0;26.8;21.495455;12.7;50.318182;7.5;1.609091;
2023-02-07;0;28.6;21.556522;14;60.826087;8.7;2.56087;
2023-02-08;0;29.4;22.4;15.8;63.125;9.4;3.154167;
2023-02-09;0;27;20.33913;15.9;79.043478;13.3;3.291304;
2023-02-10;2.2;26;19.3625;16.7;84.375;10.6;2.416667;
2023-02-11;0;28.2;20.795652;13.9;71;11.1;3.23913;
2023-02-12;null;29.2;null;16.5;67.952381;7.1;2.9;
2023-02-13;0;30.1;22.5625;15.7;66.541667;8.8;3.429167;
2023-02-14;0;24.6;21.317391;19.2;85.869565;10.1;3.078261;
2023-02-15;3.6;23.2;20.063636;17.4;87.636364;8.9;1.918182;
2023-02-16;.2;27.1;21.066667;15.5;78.458333;7.9;1.770833;
2023-02-17;1;21.8;18.6875;17.4;89.458333;9.4;2.1875;
2023-02-18;21.8;19.8;14.436364;10.6;73.545455;7.5;2.045455;
2023-02-19;0;20.1;14.6;10.3;80.708333;13.2;5.575;
2023-02-20;1.4;17.6;15.958333;14.5;94.583333;10.6;3.3625;
2023-02-21;35.2;24.5;18.779167;14.9;84.166667;8;2.316667;
2023-02-22;.2;27.3;20.930435;16.6;78.434783;8.3;3.373913;
2023-02-23;0;24.8;18.7875;17.9;87.875;12.8;4.083333;
2023-02-24;9.2;21.9;18.054167;15.7;91.583333;9.1;2.133333;
2023-02-25;5.4;26;20.621739;16.4;82;10.8;2.573913;
